id,device_name,lat,long,pm_25,pm_10,no2,co,co2,ch4,temp,rh,data_created_time
256800,TARA011,28.424376,77.089401,,,11.0,,597.0,,36.0,64.0,2024-06-27 12:31:00+00:00
258564,TARA023,28.425545,77.020576,30.1,54.0,7.6,0.22,,,40.3,40.0,2024-06-27 16:02:00+00:00
260328,TARA044,28.440153,77.035553,39.6,63.5,81.8,0.75,,,35.6,53.0,2024-06-27 19:36:00+00:00
263856,TARA014,28.430010,77.049934,98.7,133.4,49.0,,534.0,,33.3,69.0,2024-06-28 02:17:00+00:00
265619,TARA020,28.465307,77.053963,37.4,50.5,29.0,0.77,,,29.2,81.0,2024-06-28 05:28:00+00:00
240924,TARA008,NA,NA,60.6,63.1,44.0,,886.0,,24.2,63.0,2024-06-24 21:47:00+00:00
249745,TARA023,28.563128,77.211136,412.2,557.1,25.0,1.19,,,27.8,75.0,2024-06-26 09:07:00+00:00
251509,TARA020,28.465366,77.053947,117.4,200.1,48.0,1.15,,,38.3,47.0,2024-06-26 17:29:00+00:00
249757,TARA023,NA,NA,420.7,568.6,26.0,1.15,,,27.4,77.0,2024-06-26 09:11:00+00:00
253285,TARA020,28.465334,77.053963,106.9,146.5,41.1,0.97,,,33.2,59.0,2024-06-27 00:48:00+00:00
256813,TARA071,28.424587,77.089355,35.4,70.1,21.0,0.58,,,38.8,46.0,2024-06-27 12:34:00+00:00
258577,TARA008,28.425688,77.020744,37.2,37.2,3.7,,845.0,,42.5,42.0,2024-06-27 16:03:00+00:00
260341,TARA054,28.394417,77.030304,60.4,62.9,53.8,0.76,,,36.5,51.0,2024-06-27 19:39:00+00:00
265632,TARA059,NA,NA,26.4,28.8,1958.3,,,,29.7,58.0,2024-06-28 05:16:00+00:00
